time;logger;level;message;exception
2012-03-29 08:40:03.7047;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3152019456
  PollingInterval     = 00:02:00";
2012-03-29 08:40:03.7467;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2012-03-29 08:40:05.6709;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index CategoryIndex:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_CategoryIndex : AbstractViewGenerator
{
	public Index_CategoryIndex()
	{
		this.ViewText = @""docs.Categories
	.Select(cat => new {Id = cat.__document_id, Description = cat.Description})
"";
		this.ForEntityNames.Add(""Categories"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Categories"").Select((Func<dynamic, dynamic>)(cat => new { Id = cat.__document_id, Description = cat.Description, __document_id = cat.__document_id })));
		this.AddField(""Id"");
		this.AddField(""Description"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_CategoryIndex : AbstractViewGenerator
{
	public Index_CategoryIndex()
	{
		this.ViewText = @""docs.Categories
	.Select(cat => new {Id = cat.__document_id, Description = cat.Description})
"";
		this.ForEntityNames.Add(""Categories"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Categories"").Select((Func<dynamic, dynamic>)(cat => new { Id = cat.__document_id, Description = cat.Description, __document_id = cat.__document_id })));
		this.AddField(""Id"");
		this.AddField(""Description"");
		this.AddField(""__document_id"");
	}
}
";
2012-03-29 08:40:05.8139;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index ComplexCategoryIndex:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ComplexCategoryIndex : AbstractViewGenerator
{
	public Index_ComplexCategoryIndex()
	{
		this.ViewText = @""docs.ComplexCategories
	.Select(cat => new {Id = cat.__document_id, Field1 = cat.Field1, Field2 = cat.Field2, Field3 = cat.Field3, Field4 = cat.Field4, Field5 = cat.Field5, Field6 = cat.Field6, Field7 = cat.Field7, Field8 = cat.Field8, Field9 = cat.Field9, Field10 = cat.Field10, Field11 = cat.Field11, Field12 = cat.Field12, Field13 = cat.Field13, Field14 = cat.Field14, Field15 = cat.Field15, Field16 = cat.Field16, Field17 = cat.Field17, Field18 = cat.Field18, Field19 = cat.Field19, Field20 = cat.Field20, Field21 = cat.Field21})
"";
		this.ForEntityNames.Add(""ComplexCategories"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""ComplexCategories"").Select((Func<dynamic, dynamic>)(cat => new { Id = cat.__document_id, Field1 = cat.Field1, Field2 = cat.Field2, Field3 = cat.Field3, Field4 = cat.Field4, Field5 = cat.Field5, Field6 = cat.Field6, Field7 = cat.Field7, Field8 = cat.Field8, Field9 = cat.Field9, 
		Field10 = cat.Field10, Field11 = cat.Field11, Field12 = cat.Field12, Field13 = cat.Field13, Field14 = cat.Field14, Field15 = cat.Field15, Field16 = cat.Field16, Field17 = cat.Field17, Field18 = cat.Field18, Field19 = cat.Field19, 
		Field20 = cat.Field20, Field21 = cat.Field21, __document_id = cat.__document_id })));
		this.AddField(""Id"");
		this.AddField(""Field1"");
		this.AddField(""Field2"");
		this.AddField(""Field3"");
		this.AddField(""Field4"");
		this.AddField(""Field5"");
		this.AddField(""Field6"");
		this.AddField(""Field7"");
		this.AddField(""Field8"");
		this.AddField(""Field9"");
		this.AddField(""Field10"");
		this.AddField(""Field11"");
		this.AddField(""Field12"");
		this.AddField(""Field13"");
		this.AddField(""Field14"");
		this.AddField(""Field15"");
		this.AddField(""Field16"");
		this.AddField(""Field17"");
		this.AddField(""Field18"");
		this.AddField(""Field19"");
		this.AddField(""Field20"");
		this.AddField(""Field21"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ComplexCategoryIndex : AbstractViewGenerator
{
	public Index_ComplexCategoryIndex()
	{
		this.ViewText = @""docs.ComplexCategories
	.Select(cat => new {Id = cat.__document_id, Field1 = cat.Field1, Field2 = cat.Field2, Field3 = cat.Field3, Field4 = cat.Field4, Field5 = cat.Field5, Field6 = cat.Field6, Field7 = cat.Field7, Field8 = cat.Field8, Field9 = cat.Field9, Field10 = cat.Field10, Field11 = cat.Field11, Field12 = cat.Field12, Field13 = cat.Field13, Field14 = cat.Field14, Field15 = cat.Field15, Field16 = cat.Field16, Field17 = cat.Field17, Field18 = cat.Field18, Field19 = cat.Field19, Field20 = cat.Field20, Field21 = cat.Field21})
"";
		this.ForEntityNames.Add(""ComplexCategories"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""ComplexCategories"").Select((Func<dynamic, dynamic>)(cat => new { Id = cat.__document_id, Field1 = cat.Field1, Field2 = cat.Field2, Field3 = cat.Field3, Field4 = cat.Field4, Field5 = cat.Field5, Field6 = cat.Field6, Field7 = cat.Field7, Field8 = cat.Field8, Field9 = cat.Field9, 
		Field10 = cat.Field10, Field11 = cat.Field11, Field12 = cat.Field12, Field13 = cat.Field13, Field14 = cat.Field14, Field15 = cat.Field15, Field16 = cat.Field16, Field17 = cat.Field17, Field18 = cat.Field18, Field19 = cat.Field19, 
		Field20 = cat.Field20, Field21 = cat.Field21, __document_id = cat.__document_id })));
		this.AddField(""Id"");
		this.AddField(""Field1"");
		this.AddField(""Field2"");
		this.AddField(""Field3"");
		this.AddField(""Field4"");
		this.AddField(""Field5"");
		this.AddField(""Field6"");
		this.AddField(""Field7"");
		this.AddField(""Field8"");
		this.AddField(""Field9"");
		this.AddField(""Field10"");
		this.AddField(""Field11"");
		this.AddField(""Field12"");
		this.AddField(""Field13"");
		this.AddField(""Field14"");
		this.AddField(""Field15"");
		this.AddField(""Field16"");
		this.AddField(""Field17"");
		this.AddField(""Field18"");
		this.AddField(""Field19"");
		this.AddField(""Field20"");
		this.AddField(""Field21"");
		this.AddField(""__document_id"");
	}
}
";
2012-03-29 08:40:05.9449;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index ProductPriceIndex:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ProductPriceIndex : AbstractViewGenerator
{
	public Index_ProductPriceIndex()
	{
		this.ViewText = @""docs.Products
	.Select(p => new {Price = p.Price})
"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Products"").Select((Func<dynamic, dynamic>)(p => new { Price = p.Price, __document_id = p.__document_id })));
		this.AddField(""Price"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ProductPriceIndex : AbstractViewGenerator
{
	public Index_ProductPriceIndex()
	{
		this.ViewText = @""docs.Products
	.Select(p => new {Price = p.Price})
"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Products"").Select((Func<dynamic, dynamic>)(p => new { Price = p.Price, __document_id = p.__document_id })));
		this.AddField(""Price"");
		this.AddField(""__document_id"");
	}
}
";
2012-03-29 08:40:06.0789;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index ProductTotalPricePerCategoryIndex:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ProductTotalPricePerCategoryIndex : AbstractViewGenerator
{
	public Index_ProductTotalPricePerCategoryIndex()
	{
		this.ViewText = @""docs.Products
	.Select(p => new {CategoryId = p.CategoryId, Total = p.Price})
results
	.GroupBy(p => p.CategoryId)
	.Select(g => new {CategoryId = g.Key, Total = g.Sum(p => (System.Int32)(p.Total))})

"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Products"").Select((Func<dynamic, dynamic>)(p => new { CategoryId = p.CategoryId, Total = p.Price, __document_id = p.__document_id })));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(p => p.CategoryId)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new { CategoryId = g.Key, Total = g.Sum((Func<dynamic, System.Int32>)(p => (System.Int32)(p.Total))) }));
		this.GroupByExtraction = p => p.CategoryId;
		this.AddField(""CategoryId"");
		this.AddField(""Total"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_ProductTotalPricePerCategoryIndex : AbstractViewGenerator
{
	public Index_ProductTotalPricePerCategoryIndex()
	{
		this.ViewText = @""docs.Products
	.Select(p => new {CategoryId = p.CategoryId, Total = p.Price})
results
	.GroupBy(p => p.CategoryId)
	.Select(g => new {CategoryId = g.Key, Total = g.Sum(p => (System.Int32)(p.Total))})

"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => docs.Where(__document => __document[""@metadata""][""Raven-Entity-Name""] == ""Products"").Select((Func<dynamic, dynamic>)(p => new { CategoryId = p.CategoryId, Total = p.Price, __document_id = p.__document_id })));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(p => p.CategoryId)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new { CategoryId = g.Key, Total = g.Sum((Func<dynamic, System.Int32>)(p => (System.Int32)(p.Total))) }));
		this.GroupByExtraction = p => p.CategoryId;
		this.AddField(""CategoryId"");
		this.AddField(""Total"");
	}
}
";
2012-03-29 08:40:06.3449;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-03-29 08:40:06.3609;Raven.Database.Indexing.IndexStorage.Startup;Debug;Loading saved index CategoryIndex;
2012-03-29 08:40:06.3869;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for CategoryIndex;
2012-03-29 08:40:06.4959;Raven.Database.Indexing.IndexStorage.Startup;Debug;Loading saved index ComplexCategoryIndex;
